Dell XPS 13 9300	<nixos-hardware/dell/xps/13-9300>
Dell XPS 13 9310	<nixos-hardware/dell/xps/13-9310>
Dell XPS 13 9315	<nixos-hardware/dell/xps/13-9315>
Dell XPS 13 9333	<nixos-hardware/dell/xps/13-9333>
Dell XPS 13 9343	<nixos-hardware/dell/xps/13-9343>
Dell XPS 13 9350	<nixos-hardware/dell/xps/13-9350>
Dell XPS 13 9360	<nixos-hardware/dell/xps/13-9360>
Dell XPS 13 9370	<nixos-hardware/dell/xps/13-9370>
Dell XPS 13 9380	<nixos-hardware/dell/xps/13-9380>
Dell XPS 15 7590, nvidia	<nixos-hardware/dell/xps/15-7590/nvidia>
Dell XPS 15 7590	<nixos-hardware/dell/xps/15-7590>
Dell XPS 15 9500, nvidia	<nixos-hardware/dell/xps/15-9500/nvidia>
Dell XPS 15 9500	<nixos-hardware/dell/xps/15-9500>
Dell XPS 15 9510, nvidia	<nixos-hardware/dell/xps/15-9510/nvidia>
Dell XPS 15 9510	<nixos-hardware/dell/xps/15-9510>
Dell XPS 15 9520, nvidia	<nixos-hardware/dell/xps/15-9520/nvidia>
Dell XPS 15 9520	<nixos-hardware/dell/xps/15-9520>
Dell XPS 15 9530, nvidia	<nixos-hardware/dell/xps/15-9530/nvidia>
Dell XPS 15 9530	<nixos-hardware/dell/xps/15-9530>
Dell XPS 15 9550, nvidia	<nixos-hardware/dell/xps/15-9550/nvidia>
Dell XPS 15 9550	<nixos-hardware/dell/xps/15-9550>
Dell XPS 15 9560, intel only	<nixos-hardware/dell/xps/15-9560/intel>
Dell XPS 15 9560, nvidia only	<nixos-hardware/dell/xps/15-9560/nvidia>
Dell XPS 15 9560	<nixos-hardware/dell/xps/15-9560>
Dell XPS 15 9570, intel only	<nixos-hardware/dell/xps/15-9570/intel>
Dell XPS 15 9570, nvidia	<nixos-hardware/dell/xps/15-9570/nvidia>
Dell XPS 15 9570	<nixos-hardware/dell/xps/15-9570>
Dell XPS 17 9700, intel	<nixos-hardware/dell/xps/17-9700/intel
Dell XPS 17 9700, nvidia	<nixos-hardware/dell/xps/17-9700/nvidia>
Dell XPS 17 9710, intel only	<nixos-hardware/dell/xps/17-9710/intel>
Framework 11th Gen Intel Core	<nixos-hardware/framework/13-inch/11th-gen-intel>
Framework 12th Gen Intel Core	<nixos-hardware/framework/13-inch/12th-gen-intel>
Framework 13th Gen Intel Core	<nixos-hardware/framework/13-inch/13th-gen-intel>
Framework Intel Core Ultra Series 1	<nixos-hardware/framework/13-inch/intel-core-ultra-series1>
Framework 13 AMD Ryzen 7040 Series	<nixos-hardware/framework/13-inch/7040-amd>
Framework 13 AMD AI 300 Series	<nixos-hardware/framework/13-inch/amd-ai-300-series>
Framework 12 13th Gen Intel Core	<nixos-hardware/framework/12-inch/13th-gen-intel>
Framework 16 AMD Ryzen 7040 Series	<nixos-hardware/framework/16-inch/7040-amd>
Framework 16 AMD Ryzen AI 300 Series	<nixos-hardware/framework/16-inch/amd-ai-300-series>
FriendlyARM NanoPC-T4	<nixos-hardware/friendlyarm/nanopc-t4>
FriendlyARM NanoPi R5s	<nixos-hardware/friendlyarm/nanopi-r5s>
Focus M2 Gen 1	<nixos-hardware/focus/m2/gen1>
Fydetab Duo	<nixos-hardware/fydetab/duo>
Gigabyte B550	<nixos-hardware/gigabyte/b550>
Gigabyte B650	<nixos-hardware/gigabyte/b650>
GMKtec NucBox G3 Plus	<nixos-hardware/gmktec/nucbox/g3-plus>
GPD MicroPC	<nixos-hardware/gpd/micropc>
GPD P2 Max	<nixos-hardware/gpd/p2-max>
GPD Pocket 3	<nixos-hardware/gpd/pocket-3>
GPD Pocket 4	<nixos-hardware/gpd/pocket-4>
GPD WIN 2	<nixos-hardware/gpd/win-2>
GPD WIN Max 2 2023	<nixos-hardware/gpd/win-max-2/2023>
GPD WIN Mini 2024	<nixos-hardware/gpd/win-mini/2024>
Google Pixelbook	<nixos-hardware/google/pixelbook>
HP Elitebook 2560p	<nixos-hardware/hp/elitebook/2560p>
HP Elitebook 830g6	<nixos-hardware/hp/elitebook/830/g6>
HP Elitebook 845g7	<nixos-hardware/hp/elitebook/845/g7>
HP Elitebook 845g8	<nixos-hardware/hp/elitebook/845/g8>
HP Elitebook 845g9	<nixos-hardware/hp/elitebook/845/g9>
HP Laptop 14s-dq2024nf	<nixos-hardware/hp/laptop/14s-dq2024nf>
HP Laptop 15s-fq1xxx	<nixos-hardware/hp/laptop/15s-fq1xxx>
HP Notebook 14-df0023	<nixos-hardware/hp/notebook/14-df0023>
HP Probook 440G5	<nixos-hardware/hp/probook/440G5>
HP Laptop 14s-dq2024nf	<nixos-hardware/hp/laptop/14s-dq2024nf>
HP Probook 460G11	<nixos-hardware/hp/probook/460g11>
Huawei Matebook X Pro (2020)	<nixos-hardware/huawei/machc-wa>
i.MX8QuadMax Multisensory Enablement Kit	<nixos-hardware/nxp/imx8qm-mek>
Intel NUC 5i5RYB	<nixos-hardware/intel/nuc/5i5ryb>
Intel NUC 8i7BEH	<nixos-hardware/intel/nuc/8i7beh>
Intel NUC 12WSHi7	<nixos-hardware/intel/nuc/12wshi7>
Kobol Helios4	<nixos-hardware/kobol/helios4>
Lenovo IdeaCentre K330	<nixos-hardware/lenovo/ideacentre/k330>
Lenovo IdeaPad 3 15alc6	<nixos-hardware/lenovo/ideapad/15alc6>
Lenovo IdeaPad Gaming 3 15arh05	<nixos-hardware/lenovo/ideapad/15arh05>
Lenovo IdeaPad Gaming 3 15ach6	<nixos-hardware/lenovo/ideapad/15ach6>
Lenovo IdeaPad 5 Pro 14imh9	<nixos-hardware/lenovo/ideapad/14imh9>
Lenovo IdeaPad 5 Pro 16ach6	<nixos-hardware/lenovo/ideapad/16ach6>
Lenovo IdeaPad Z510	<nixos-hardware/lenovo/ideapad/z510>
Lenovo IdeaPad Slim 5	<nixos-hardware/lenovo/ideapad/slim-5>
Lenovo IdeaPad Slim 5 16iah8	<nixos-hardware/lenovo/ideapad/16iah8
Lenovo IdeaPad 2-in-1 16ahp9	<nixos-hardware/lenovo/ideapad/16ahp9>
Lenovo IdeaPad S145 15api	<nixos-hardware/lenovo/ideapad/s145-15api>
Lenovo Legion 5 15ach6h	<nixos-hardware/lenovo/legion/15ach6h>
Lenovo Legion 5 15ach6h (Hybrid)	<nixos-hardware/lenovo/legion/15ach6h/hybrid>
Lenovo Legion 5 15ach6h (Nvidia)	<nixos-hardware/lenovo/legion/15ach6h/nvidia>
Lenovo Legion 5 15arh05h	<nixos-hardware/lenovo/legion/15arh05h>
Lenovo Legion 7 Slim 15ach6	<nixos-hardware/lenovo/legion/15ach6>
Lenovo Legion 5 Pro 16ach6h	<nixos-hardware/lenovo/legion/16ach6h>
Lenovo Legion 5 Pro 16ach6h (Hybrid)	<nixos-hardware/lenovo/legion/16ach6h/hybrid>
Lenovo Legion 5 Pro 16ach6h (Nvidia)	<nixos-hardware/lenovo/legion/16ach6h/nvidia>
Lenovo Legion 5 Pro 16arh7h (IGPU Only)	<nixos-hardware/lenovo/legion/16arh7h/igpu-only>
Lenovo Legion 5 Pro 16arh7h (Hybrid)	<nixos-hardware/lenovo/legion/16arh7h/hybrid>
Lenovo Legion 5 Pro 16IAH7H (Intel)	<nixos-hardware/lenovo/legion/16iah7h>
Lenovo Legion 7 16achg6 (Hybrid)	<nixos-hardware/lenovo/legion/16achg6/hybrid>
Lenovo Legion 7 16achg6 (Nvidia)	<nixos-hardware/lenovo/legion/16achg6/nvidia>
Lenovo Legion 7i Pro 16irx8h (Intel)	<nixos-hardware/lenovo/legion/16irx8h>
Lenovo Legion 7 Pro 16irx9h (Intel)	<nixos-hardware/lenovo/legion/16irx9h>
Lenovo Legion Pro 7 16iax10h (Intel)	<nixos-hardware/lenovo/legion/16iax10h>
Lenovo Legion Slim 5	<nixos-hardware/lenovo/legion/16aph8>
Lenovo Legion Slim 7 Gen 7 (AMD)	<nixos-hardware/lenovo/legion/16arha7>
Lenovo Legion T5 AMR5	<nixos-hardware/lenovo/legion/t526amr5>
Lenovo Legion Y530 15ICH	<nixos-hardware/lenovo/legion/15ich>
Lenovo ThinkPad A475	<nixos-hardware/lenovo/thinkpad/a475>
Lenovo ThinkPad E14 (AMD)	<nixos-hardware/lenovo/thinkpad/e14/amd>
Lenovo ThinkPad E14 (Intel - Gen 1)	<nixos-hardware/lenovo/thinkpad/e14/intel>
Lenovo ThinkPad E14 (Intel - Gen 4)	<nixos-hardware/lenovo/thinkpad/e14/intel/gen4>
Lenovo ThinkPad E14 (Intel - Gen 2)	<nixos-hardware/lenovo/thinkpad/e14/intel/gen2>
Lenovo ThinkPad E14 (Intel - Gen 6)	<nixos-hardware/lenovo/thinkpad/e14/intel/gen6>
Lenovo ThinkPad E15 (Intel)	<nixos-hardware/lenovo/thinkpad/e15/intel>
Lenovo ThinkPad E470	<nixos-hardware/lenovo/thinkpad/e470>
Lenovo ThinkPad E495	<nixos-hardware/lenovo/thinkpad/e495>
Lenovo ThinkPad L13 Yoga	<nixos-hardware/lenovo/thinkpad/l13/yoga>
Lenovo ThinkPad L13	<nixos-hardware/lenovo/thinkpad/l13>
